timestamp,open,high,low,close,volume,market_cap
2025-10-26,1.599,1.656,1.581,1.636,645456.76,59092.35
2025-10-27,1.638,1.657,1.572,1.574,1276757.15,111128.84
2025-10-28,1.574,1.625,1.506,1.53,1783643.77,607839.57
2025-10-29,1.53,1.586,1.505,1.522,1278990.26,216948.89
2025-10-30,1.523,1.535,1.348,1.405,2385968.55,612059.74
2025-10-31,1.404,1.462,1.4,1.416,1145409.22,226594.52
2025-11-01,1.417,1.459,1.399,1.452,1322758.07,108804.75
2025-11-02,1.452,1.489,1.413,1.468,1099527.19,81394.51
2025-11-03,1.469,1.469,1.212,1.255,3121392.18,354395.69
2025-11-04,1.255,1.285,1.109,1.186,4563242.6,566216.23
2025-11-05,1.186,1.241,1.122,1.219,1647167.75,281898.37
2025-11-06,1.22,1.241,1.137,1.233,2601038.05,489783.52
2025-11-07,1.233,1.53,1.233,1.505,6149997.2,1369413.48
2025-11-08,1.504,1.561,1.397,1.48,5693843.27,594463.31
2025-11-09,1.48,1.481,1.36,1.441,2047874.86,496836.11
2025-11-10,1.44,1.49,1.408,1.471,1382487.33,240107.77
2025-11-11,1.472,1.495,1.349,1.355,1747506.08,264681.18
2025-11-12,1.356,1.428,1.291,1.319,1453924.95,169008.25
2025-11-13,1.319,1.417,1.228,1.277,1890737.84,230898.37
2025-11-14,1.279,1.294,1.211,1.251,1237947.71,156691.82
2025-11-15,1.252,1.303,1.242,1.28,952930.42,87040.16
2025-11-16,1.281,1.308,1.193,1.237,1148665.44,118161.26
2025-11-17,1.235,1.294,1.177,1.213,1410167.18,187301.9
2025-11-18,1.213,1.337,1.192,1.306,3443559.34,428148.68
2025-11-19,1.306,1.354,1.175,1.23,2219406.72,452899.74
2025-11-20,1.23,1.386,1.18,1.204,3923810.12,683952.32
2025-11-21,1.203,1.254,1.079,1.117,4529897.77,795662.65
2025-11-22,1.116,1.117,1.066,1.101,1274066.06,223710.4
2025-11-23,1.101,1.127,1.092,1.097,1051305.48,173224.52
2025-11-24,1.096,1.167,1.079,1.148,1333629.52,379732.6
2025-11-25,1.147,1.161,1.089,1.152,1216954.95,123243.8
2025-11-26,1.152,1.172,1.099,1.158,1450045.52,135140.11
2025-11-27,1.158,1.182,1.146,1.162,879044.89,85552.19
2025-11-28,1.161,1.171,1.122,1.137,2492423.67,77426.46
